participant_name;trade_number;happiness_rating
jenny;0;7
Kong;0;10
Eunike;0;4
kaitlin;0;8
Raine;0;7
Joel;0;5
Gerine;0;4
Maud;0;8
Dominik;0;9
Brendan;0;6
April;0;6
Janina;0;7
Lena;0;4
neha;0;5
erdem;0;2
Noah;0;7
Faye;0;7
Eeske;0;8
penguin;0;6
Elizabeth;0;7
Maia;;8
Tim;0;2
Alina;0;6
Kristina;0;8
Daniel;0;6
Arnout;0;7
Daan;0;4
Irene;0;4
anna;0;4
;0;8
Cayce;0;7
Mathieu;0;7
Maia;0;8
Michele;0;10
ana;0;6
Kenneth;0;6
Sarah;0;3
rachel;0;5
Trish;0;8
Rick;0;3
veit;0;4
Gaby;0;5
Brendan;1;8
Tim;1;5
Gerine;1;5
Eeske;1;7
Sarah;1;3
kaitlin;1;5
Lena;1;6
Cayce;1;8
Raine;1;4
Janina;1;8
Rick;1;3
Irene;1;9
penguin;1;5
neha;1;7
Joel;1;8
Faye;1;8
rachel;1;8
Arnout;1;8
April;1;7
;1;7
Elizabeth ;1;6
Gaby;1;5
erdem;1;8
Daniel;1;7
Noah;1;10
Maia;1;7
Trish;1;9
Dominik;1;7
Kristina;1;9
Rabia;1;7
;1;6
Michele;1;10
jenny;1;6
Kong;1;10
Mathieu;1;10
anna;1;6
Eunike;1;7
veit;1;7
Maud;1;7
;1;8
ana;1;8
April;2;9
Rabia ;2;10
Ana;2;9
Brendan;2;8
Janina;2;8
Lena;2;8
penguin;2;6
rachel;2;9
Tim;2;5
Gerine;2;5
kaitlin;2;9
jenny;2;5
Irene;2;10
;2;8
Alina;2;8
Sarah;2;5
;2;10
Kenneth;2;9
Cayce;2;9
;2;10
Faye;2;9
Eeske;2;8
Raine;2;9
Elizabeth;2;8
erdem;2;5
anna;2;9
Rick;2;8
;2;10
;2;5
Eunike;2;7
Dominik;2;10
neha;2;7
Kristina;2;10
Michele;2;10
Alina;2;8
Gaby;2;7
Maud;2;8
Kong;2;10
Daniel;2;8
Trish;2;9
Noah;2;9
Maia;2;8
;2;9
Arnout;2;6
